source_name	source_url	r2_key	extension	content_type	sha256	bytes
001 — হেদায়াতের দোয়া — ধীর ও স্পষ্ট অডিও.mp3		duas/001-dua-for-guidance-surah-al-faatiha-1-6.mp3	mp3	audio/mpeg	7e4594a56bd926da8f17fdfaf1223d7e1c27a232127c1953841538fba1832d0b	292786
002 — ইবাদত কবুল হওয়ার দোয়া — ধীর ও স্পষ্ট অডিও.mp3		duas/002-dua-for-forgiveness-surah-al-baqara-2-127.mp3	mp3	audio/mpeg	2c1d2d1b93c622739194f60a6b1924a062107ba4cb8ea25a052dffe24e905a62	696000
003 — আত্মসমর্পণ ও পরিবারের দোয়া — ধীর ও স্পষ্ট অডিও.mp3		duas/003-dua-for-forgiveness-surah-al-baqara-2-128.mp3	mp3	audio/mpeg	bbe1c749e6bfbd0ae46a7c0c621e4c56d35ea2a4b5dfc20132fd17f4356111c0	1324232
004 — দুনিয়া-আখিরাতের কল্যাণের দোয়া — ধীর ও স্পষ্ট অডিও.mp3		duas/004-dua-for-balanced-life-surah-al-baqara-2-201.mp3	mp3	audio/mpeg	92e2ac52b291ccd4e36a614c81915e7b14feab82868ed95edcf95ea4cde27323	834256
005 — সবর ও অটলতার দোয়া — ধীর ও স্পষ্ট অডিও.mp3		duas/005-dua-for-patience-surah-al-baqara-2-250.mp3	mp3	audio/mpeg	5053faba90091731526c2cf7413e05473b6c3f469369c95ce933b206b7aa3946	776630
006 — সাধ্যের বাইরে বোঝা না দেওয়ার দোয়া — ধীর ও স্পষ্ট অডিও.mp3		duas/006-dua-for-forgiveness-surah-al-baqara-2-286.mp3	mp3	audio/mpeg	f787e2e0e7988a85e556d9180c032677f465bb8998edd9d2ed5bca86d86c597e	1586904
007 — ঈমানের দৃঢ়তার দোয়া — ধীর ও স্পষ্ট অডিও.mp3		duas/007-dua-for-faith-surah-aal-i-imraan-3-8.mp3	mp3	audio/mpeg	d2a0276f23e18c0465e5f55c3952558340255cad290ae9f431a8eab5114e9822	713658
008 — গুনাহ মাফ ও জাহান্নাম থেকে রক্ষার দোয়া — ধীর ও স্পষ্ট অডিও.mp3		duas/008-dua-for-protection-surah-aal-i-imraan-3-16.mp3	mp3	audio/mpeg	764d6836a098adca28058fd59d3b674ac1ee21da3dd3c0bb639e2c6f1eb40a7c	508640
009 — নেক সন্তান চাওয়ার দোয়া — ধীর ও স্পষ্ট অডিও.mp3		duas/009-dua-for-family-surah-aal-i-imraan-3-38.mp3	mp3	audio/mpeg	ff7dc2c366b23743a69fd5f9ceaeea022964014ae6b7b478688af125ad27a6c9	930242
010 — মান্যকারীদের তালিকাভুক্ত হওয়ার দোয়া — ধীর ও স্পষ্ট অডিও.mp3		duas/010-dua-for-faith-surah-aal-i-imraan-3-53.mp3	mp3	audio/mpeg	6bf07d56f55d9be0e11b24092fd40822d8b6945a96498b443ab1f8730120873c	397276
011 — বাড়াবাড়ির ক্ষমা ও দৃঢ়তার দোয়া — ধীর ও স্পষ্ট অডিও.mp3		duas/011-dua-for-patience-surah-aal-i-imraan-3-147.mp3	mp3	audio/mpeg	d345f63a0addc7f773e4ac8f66683666d4ed1702f2fc9d1373372b3723c949c5	778964
012 — সৃষ্টি নিয়ে চিন্তা ও নাজাতের দোয়া — ধীর ও স্পষ্ট অডিও.mp3		duas/012-dua-for-protection-surah-aal-i-imraan-3-191.mp3	mp3	audio/mpeg	7e7a8e2a1958e12d36cc057629ac5a8623387b1c927cae05e6fce0a7af2c677c	896472
013 — জাহান্নামের অপমান সম্পর্কে চিন্তা ও দোয়া — ধীর ও স্পষ্ট অডিও.mp3		duas/013-dua-for-protection-surah-aal-i-imraan-3-192.mp3	mp3	audio/mpeg	93087b868a27632c87ba18a21e5d44eaf9548e0fc390baafacad96b4c3c17527	552420
014 — ঈমান আনার পর মাগফিরাতের দোয়া — ধীর ও স্পষ্ট অডিও.mp3		duas/014-dua-for-forgiveness-surah-aal-i-imraan-3-193.mp3	mp3	audio/mpeg	bcbca2c017ab90e89ba5e873b347d534b19890dd7d0b891813a3aaa9d2226d87	1157580
015 — ওয়াদা পূরণের আশায় দোয়া — ধীর ও স্পষ্ট অডিও.mp3		duas/015-dua-for-faith-surah-aal-i-imraan-3-194.mp3	mp3	audio/mpeg	a57647a4eff11c6704042acaa66cc7207403019ff6e08961c25af303deff5c32	616132
016 — ক্ষমা প্রার্থনার দোয়া — ধীর ও স্পষ্ট অডিও.mp3		duas/016-dua-for-forgiveness-surah-al-araaf-7-23.mp3	mp3	audio/mpeg	79a273fbb8ab369184fecb6b4ad0c0a8be2f8c9d9592362e8173cb8481c39a67	621502
017 — নিজের ও ভাইয়ের জন্য ক্ষমার দোয়া — ধীর ও স্পষ্ট অডিও.mp3		duas/017-dua-for-forgiveness-surah-al-araaf-7-151.mp3	mp3	audio/mpeg	8bbbc57854f2d2aa8512220f9fbbb2921c9d1c39e22553db4b72d1140fdb0502	684500
018 — পরীক্ষার সময় ক্ষমা চাওয়ার দোয়া — ধীর ও স্পষ্ট অডিও.mp3		duas/018-dua-for-forgiveness-surah-al-araaf-7-155.mp3	mp3	audio/mpeg	d1a10e67e9bd4bf9c22ff4a8703830272d948004ae114084ccf9cd6c319c1c04	1470164
